Polish sentence	English meaning	Frequency
Ona je jabłko.	She's eating an apple.	[ 125 187 319 ]
Czy masz słownik?	Do you have a dictionary?	[ 67 37 527 ]
Nie idę dzisiaj do szkoły.	I'm not going to school today.	[ 5 733 76 7 232 ]
Ten garnitur jest za dobry jak dla mnie.	This suit is too good for me.	[ 23 1466 1 11 119 20 31 14 ]
Nie znamy go.	We don't know him.	[ 5 606 21 ]
Byłem zupełnie sam.	I was all by myself.	[ 124 283 225 ]
Ty coś wiesz.	You know something.	[ 98 38 497 ]
Ile lat ma twój ojciec?	How old is your father?	[ 433 456 12 39 115 ]
Nie wiem, co masz na myśli.	I don't know what you mean.	[ 5 154 22 37 4 1045 ]
Mówi pan po angielsku?	Do you speak English?	[ 73 55 16 701 ]
Gdzie są moje pieniądze?	Where's my money?	[ 84 17 64 683 ]
Napisał mi długi list.	He wrote me a long letter.	[ 360 9 290 191 ]
Chcę napisać książkę.	I want to write a book.	[ 77 420 141 ]
Mój ojciec jest teraz w ogrodzie.	My father is in the garden now.	[ 41 115 1 63 3 1056 ]
Będzie grał jutro w tenisa.	He will play tennis tomorrow.	[ 51 449 106 3 458 ]
Te książki są nowe.	These books are new.	[ 130 229 17 478 ]
Może przyjdzie dziś wieczorem.	Maybe he will arrive tonight.	[ 53 361 69 371 ]
Myślisz, że kim ona jest?	Who do you think she is?	[ 698 10 234 125 1 ]
On mówi po angielsku.	He is speaking English.	[ 65 73 16 701 ]
Chcesz, żebym sobie poszedł?	Do you want me to leave?	[ 74 376 71 334 ]
Chciałbym, byś został w domu.	I would rather you stayed at home.	[ 469 197 144 3 256 ]
Co się z tym stało?	What's wrong with it?	[ 22 2 8 46 992 ]
Czego się uczysz?	What are you learning?	[ 198 2 443 ]
Nie rozumiem co masz na myśli.	I don't understand what you mean.	[ 5 173 22 37 4 1045 ]
Nie znamy jej.	We don't know her.	[ 5 606 33 ]
Nie znamy jej.	We do not know her.	[ 5 606 33 ]
Dlaczego chciałbyś zrobić coś jak lubisz?	Why would you want to do something like that?	[ 387 432 169 38 20 246 ]
Trochę mówi po angielsku.	He speaks English a little.	[ 72 73 16 701 ]
Po prostu zapomnij.	Just forget it.	[ 16 370 261 ]
Jestem dużo młodszy od ciebie.	I'm much younger than you.	[ 30 42 907 29 75 ]
Naprawdę chcesz rzucić pracę?	Are you seriously thinking about quitting your job?	[ 83 74 408 302 ]
Muszę znać jego imię.	I need to know his name.	[ 162 419 34 253 ]
Kto ty?	Who are you?	[ 337 98 ]
Już go nie kocham.	I do not love him any longer.	[ 25 21 5 820 ]
Mam kota i psa.	I have a cat and a dog.	[ 43 440 27 362 ]
Chyba mam zły numer.	I seem to have the wrong number.	[ 252 43 300 278 ]
Czy chcesz pójść?	Do you want to go?	[ 67 74 514 ]
Już cię nie kocham.	I don't love you anymore.	[ 25 26 5 820 ]
Rozumiem jak rozwiązać ten problem.	I understand how to solve the problem.	[ 173 20 544 23 336 ]
On nie pije.	He doesn't drink.	[ 65 5 588 ]
Nie chcę tego aż do jutra.	I don't want that until tomorrow.	[ 5 77 19 272 7 936 ]
Nigdy nie będziesz sam.	You'll never be alone.	[ 295 5 353 225 ]
Kiedy pójdziemy do domu?	When will we go home?	[ 155 460 7 256 ]
Gra w tenisa każdego dnia.	He plays tennis every day.	[ 148 3 458 208 281 ]
Do zobaczenia później.	See you later!	[ 7 202 450 ]
Do zobaczenia później!	See you later.	[ 7 202 450 ]
Gdzie jest kot?	Where is the cat?	[ 84 1 574 ]
Musisz przeczytać tę książkę.	You must read this book.	[ 171 508 59 141 ]
Samochód jest gotowy.	The car is ready.	[ 122 1 537 ]
Wiem co robić.	I know what to do.	[ 154 22 484 ]
Chciałbym teraz coś zjeść.	I would like to eat now.	[ 469 63 38 311 ]
Kto dużo mówi, mało robi.	He who says big, does a little.	[ 337 42 73 263 388 ]
Czy to jest miłość?	Is this love?	[ 67 6 1 809 ]
Mam swoje zdanie.	I have an opinion.	[ 43 57 563 ]
Nie potrzebuję teraz pieniędzy.	I do not need money now.	[ 5 368 63 448 ]
Przez cały dzień nic nie idzie dobrze.	Nothing has gone right all day.	[ 48 269 363 126 5 658 80 ]
Rób co chcesz.	Do whatever you want to do.	[ 568 22 74 ]
Mam trochę czasu.	I have some time.	[ 43 72 549 ]
Rób, co chcesz.	Do whatever you want.	[ 568 22 74 ]
Jeszcze nigdy czegoś takiego nie widziałem.	I have never seen such a thing.	[ 56 295 410 317 5 245 ]
Ona ma długie włosy.	She has long hair.	[ 125 12 323 426 ]
Kiedy będziesz miał czas, powinieneś przeczytać tę książkę.	When you have time you should read this book.	[ 155 353 150 248 158 508 59 141 ]
Co pan pije?	What do you want to drink?	[ 22 55 588 ]
Nie zapomnij swoich pieniędzy.	Don't forget your money.	[ 5 261 175 448 ]
Jutro będę zajęty.	I'll be busy tomorrow.	[ 106 146 416 ]
Był zły na to co powiedział.	He was angry at what she said.	[ 28 300 4 6 22 976 ]
Jestem zajęty.	I'm busy.	[ 30 416 ]
Dlaczego nie pójdziemy do domu?	Why don't we go home?	[ 387 5 460 7 256 ]
To nie nasz problem.	The problem isn't ours.	[ 6 5 546 336 ]
Mogę to pożyczyć na dwa lub trzy dni?	May I have this for two or three days?	[ 24 6 192 4 109 900 100 451 ]
On ciężko pracuje.	He is a hard worker.	[ 65 347 258 ]
Można to zrobić zaraz?	May I do it right now?	[ 296 6 169 423 ]
On wydaje za dużo pieniędzy.	He spends too much money.	[ 65 552 11 42 448 ]
Dlaczego zawsze ja?	Why always me?	[ 387 79 206 ]
Tak, możemy jechać.	Yes, we can go.	[ 54 242 377 ]
Masz dla mnie jakieś wiadomości?	Do you have any messages for me?	[ 37 31 14 176 866 ]
Nie jadłem nic przez cały dzień.	I haven't had anything to eat all day.	[ 5 540 126 48 269 363 ]
Będziesz musiał się dużo uczyć.	You will have to study a lot.	[ 353 593 2 42 136 ]
On nie zna angielskiego.	He doesn't know English.	[ 65 5 259 572 ]
Powiedz mi, jak to zrobiłeś.	Tell me how you did it.	[ 587 9 20 6 505 ]
Chciałbym cię zobaczyć.	I want to see you.	[ 469 26 182 ]
Lubi podróżować sam.	He likes to travel by himself.	[ 35 417 225 ]
Nikt nie jest zbyt stary, by się uczyć.	No man is so old he cannot learn.	[ 1018 5 1 108 415 121 2 136 ]
Nikt nie jest zbyt stary, by się uczyć.	Nobody is too old to learn.	[ 1018 5 1 108 415 121 2 136 ]
To zależy.	It depends.	[ 6 446 ]
Czy to wszystko, na co cię stać?	Is that the best you can do?	[ 67 6 94 4 22 26 1365 ]
Nie można było otworzyć tych drzwi.	The door could not be opened.	[ 5 296 36 267 321 434 ]
Więc, w czym masz problem?	So what's your problem?	[ 605 3 152 37 336 ]
Mam inny aparat niż ty.	My camera is different from yours.	[ 43 396 531 66 98 ]
Kupił mi nowy słownik.	He bought me a new dictionary.	[ 273 9 99 527 ]
Mam jego imię na końcu języka.	His name is on the tip of my tongue.	[ 43 34 253 4 320 708 ]
Ona jest dobra w tenisa.	She's good at tennis.	[ 125 1 550 3 458 ]
On nie wie, jak napisać list po angielsku.	He doesn't know how to write a letter in English.	[ 65 5 402 20 420 191 16 701 ]
Czuję, że powinienem Ci pomóc.	I feel that I should help you.	[ 366 10 403 18 341 ]
Nikt nie wie czy ją kocha, czy nie.	No one knows whether he loves her or not.	[ 1018 5 402 67 68 200 67 5 ]
Dlaczego to nie działa?	Why isn't it working?	[ 387 6 5 519 ]
To jest pokój, do którego on wszedł.	This is the room into which he went.	[ 6 1 143 7 506 65 877 ]
Mam dobry słownik.	I have a good dictionary.	[ 43 119 527 ]
Wyszła z pokoju.	She left the room.	[ 384 8 297 ]
Miałem szczęście być tam na czas.	I was lucky to be there on time.	[ 372 664 50 40 4 248 ]
On stracił swoją pracę.	He lost his job.	[ 65 482 70 302 ]
Jak nazywa się ten ptak?	What's the name of this bird?	[ 20 679 2 23 425 ]
Jak się ten ptak nazywa?	What's that bird called?	[ 20 2 23 425 679 ]
Jak się nazywa ten ptak?	What is this bird called?	[ 20 2 679 23 425 ]
Czy to japońskie jedzenie?	Is it Japanese food?	[ 67 6 648 199 ]
Wiem tak samo mało jak ty.	I know as little as you do.	[ 154 54 791 263 20 98 ]
Ona ma krótkie włosy.	She has short hair.	[ 125 12 358 426 ]
Jak chcesz, możesz używać mój samochód.	You can use my car, if you want to.	[ 20 74 104 1022 41 122 ]
Nie wiesz jak bardzo cię kocham.	You don't know how much I love you.	[ 5 497 20 15 26 820 ]
Jestem tu, więc się nie martw.	Now that I am here, you don't have to worry.	[ 30 32 605 2 5 710 ]
Dobrze grasz w tenisa?	Are you good at tennis?	[ 80 382 3 458 ]
Chciałem tam pójść.	I wanted to go there.	[ 139 40 514 ]
Im więcej mam, tym więcej chcę.	The more I get, the more I want.	[ 994 113 43 46 113 77 ]
Masz ochotę coś zjeść?	Do you feel like eating?	[ 37 539 38 311 ]
Ona pisze do mnie raz w miesiącu.	She writes to me once a month.	[ 125 322 7 14 570 3 579 ]
Jestem gotowy ci pomóc.	I'm ready to help you.	[ 30 537 18 341 ]
Ile masz przy sobie pieniędzy?	How much money do you have with you?	[ 433 37 170 71 448 ]
Lubię podróżować.	I like to travel.	[ 47 417 ]
Jestem prawie gotowy.	I'm about ready.	[ 30 129 537 ]
Jestem prawie gotowy.	I am almost ready.	[ 30 129 537 ]
Samochód nie zatrzymał się.	The car didn't stop.	[ 122 5 800 2 ]
Nie potrafię ci pomóc.	I can't help you.	[ 5 565 18 341 ]
Po prostu chodźmy do niego.	Let's just go see him.	[ 16 370 607 7 163 ]
Dlaczego ona to zrobiła?	Why did she do that?	[ 387 125 6 413 ]
To mój błąd, nie twój.	It's my fault, not yours.	[ 6 41 1073 5 39 ]
Nie powinieneś tutaj czekać.	You shouldn't wait here.	[ 5 158 78 691 ]
Czy chcesz tego spróbować?	Do you want to try it?	[ 67 74 19 772 ]
Ona mieszka sama w tym pokoju.	She lives alone in the room.	[ 125 180 747 3 46 297 ]
Byłem nauczycielem.	I was a teacher.	[ 124 343 ]
Jak się nazywa?	What is your name?	[ 20 2 679 ]
Zgadzam się z tobą.	I agree with you.	[ 798 2 8 127 ]
Jestem wysoki.	I am tall.	[ 30 438 ]
To był naprawdę piękny dzień.	It was a really beautiful day.	[ 6 28 83 690 363 ]
Idź do domu, teraz.	Go home now.	[ 611 7 256 63 ]
Kto to napisał?	Who wrote it?	[ 337 6 360 ]
Jak się miewa pies?	How's the dog?	[ 20 2 702 215 ]
Im więcej ma, tym więcej chce.	The more one has, the more one wants.	[ 994 113 12 46 113 131 ]
Jesteś bardzo miły.	You're very nice.	[ 49 15 641 ]
On nie może już dłużej czekać.	He can no longer wait.	[ 65 5 53 25 571 691 ]
Gdzie się pan zatrzymał?	Where are you staying?	[ 84 2 55 800 ]
Dlaczego tam byłeś?	Why were you there?	[ 387 40 279 ]
Tutaj jest twoja torba.	Here is your bag.	[ 78 1 105 758 ]
Nie mamy czasu.	We have no time.	[ 5 153 549 ]
On jest miły.	He is nice.	[ 65 1 641 ]
To biurko jest moje.	This desk is mine.	[ 6 872 1 64 ]
Będę w domu rano.	I'll be at home in the morning.	[ 146 3 256 538 ]
On miał posprzątać pokój.	He was going to clean up his room.	[ 65 150 585 143 ]
On jest o dwa lata starszy od ciebie.	He is two years older than you.	[ 65 1 13 109 558 1036 29 75 ]
Czy umiesz mówić po angielsku?	Do you speak English?	[ 67 285 110 16 701 ]
Miał wypadek przy pracy.	He had an accident at work.	[ 150 330 170 294 ]
Ale masz długie włosy!	What long hair you've got!	[ 159 37 323 426 ]
Ty nie lubisz muzykę.	You don't like music.	[ 98 5 246 597 ]
Znasz go lepiej ode mnie.	You know him better than I do.	[ 299 21 557 292 14 ]
Dobrze, chodźmy już!	Well, let's get going!	[ 80 607 25 ]
Proszę, zrób to.	Please do that.	[ 216 490 6 ]
To powinno pomóc.	That should help.	[ 6 365 341 ]
Myślisz, że jestem za wysoki?	Do you think I'm too tall?	[ 698 10 30 11 438 ]
Czuję się już lepiej.	I'm quite better now.	[ 366 2 25 557 ]
Masz tę nową książkę?	Do you have this new book?	[ 37 59 713 141 ]
Czy nie jesteś szczęśliwa?	Aren't you happy?	[ 67 5 49 830 ]
Chodźmy, już nie pada.	Let's go out now. It isn't raining any more.	[ 607 25 5 315 ]
Właśnie przyszedł do domu.	He came home just now.	[ 145 545 7 256 ]
Książka jest na stole.	The book is on the table.	[ 90 1 4 859 ]
Kocham cię bardziej niż ją.	I love you more than I love her.	[ 820 26 213 66 68 ]
To wszystko co napisała.	That's all she wrote.	[ 6 94 22 835 ]
Myślisz, że muszę iść?	Do you think I need to go?	[ 698 10 162 88 ]
Jak daleko stąd się to znajduje?	How far is it from here?	[ 20 647 249 2 6 513 ]
Moja matka nie może przyjść.	My mother can't come.	[ 96 177 5 53 868 ]
Ten słownik na biurku jest mój.	The dictionary on the desk is mine.	[ 23 527 4 843 1 41 ]
Lepiej zostać tutaj.	It's safer to stay here.	[ 557 85 78 ]
Ojciec właśnie wrócił do domu.	Father has just come home.	[ 115 145 677 7 256 ]
Jej niemowlę nie może mówić.	Her baby can't speak.	[ 33 1000 5 53 110 ]
Zrób to sam.	Do it yourself.	[ 490 6 225 ]
Zrób to sam!	Do it by yourself.	[ 490 6 225 ]
Mam taki sam słownik.	This is the same dictionary as I have.	[ 43 167 225 527 ]
Lubię spać.	I like sleeping.	[ 47 435 ]
Dobry dzień.	Good afternoon.	[ 119 363 ]
Pójdziemy do domu.	We'll go home.	[ 460 7 256 ]
Jestem teraz bardzo głodny.	I'm very hungry now.	[ 30 63 15 856 ]
Ile ma teraz lat?	How old is he now?	[ 433 12 63 456 ]
Ile on ma lat?	How old is he?	[ 433 65 12 456 ]
Kiedy wypadek miał miejsce?	When did the accident happen?	[ 155 330 150 333 ]
Mój przyjaciel mieszka w tym domu.	My friend lives in this house.	[ 41 929 180 3 46 256 ]
Właśnie zacząłem czytać tę książkę.	I just started reading this book.	[ 145 731 137 59 141 ]
Mój ojciec jest w ogrodzie.	My father's in the garden.	[ 41 115 1 3 1056 ]
Takie jest życie.	That's life.	[ 501 1 228 ]
Musimy mu o tym powiedzieć.	We must tell him about it.	[ 828 44 13 46 291 ]
Nie jestem pewien, czy potrafię to zrobić.	I'm not sure I can do it.	[ 5 30 870 67 565 6 169 ]
On jest nauczycielem angielskiego.	He is an English teacher.	[ 65 1 343 572 ]
Nie powinienem był cię o to prosić.	I shouldn't have asked you to do that.	[ 5 403 28 26 13 6 1236 ]
On lubi biegać.	He likes to run.	[ 65 35 636 ]
Mamy kota i psa.	We have a cat and a dog.	[ 153 440 27 362 ]
Mogę tylko poczekać.	I can only wait.	[ 24 52 662 ]
Co pan dzisiaj zrobił?	What have you done today?	[ 22 55 76 831 ]
On jest starszym z dwóch.	He is the older of the two.	[ 65 1 917 8 239 ]
Czy potrzebujesz czegoś?	Do you want anything?	[ 67 262 410 ]
Zamknij się!	Shut up!	[ 491 2 ]
Usłyszałem dzisiaj coś nowego.	I heard something new today.	[ 653 76 38 219 ]
Ugryzł się w język i nic nie powiedział.	He held his tongue and didn't say a word.	[ 632 2 3 203 27 126 5 976 ]
Dlaczego lubisz coś takiego?	Why do you like something like that?	[ 387 246 38 317 ]
Dziwne, że jeszcze nie przyszedł.	It is strange that he has not come yet.	[ 620 10 56 5 545 ]
Nie mogę tego dalej robić.	I can't keep doing this.	[ 5 24 19 704 484 ]
Każdy musi jeść.	Everybody has to eat.	[ 379 147 217 ]
Nie lubię czekać.	I don't like waiting.	[ 5 47 691 ]
Napisał dwie książki.	He has written two books.	[ 360 156 229 ]
Ona kocha mnie, a ja kocham ją.	She loves me, and I love her.	[ 125 200 14 307 206 820 68 ]
Ona go nienawidzi.	She hates him.	[ 125 21 601 ]
To jabłko jest bardzo czerwone.	This apple is very red.	[ 6 319 1 15 905 ]
On myśli tylko o sobie.	He thinks only about himself.	[ 65 1045 52 13 71 ]
To było lata temu.	That was years ago.	[ 6 36 558 397 ]
Jak skończę tę pracę, będę czytać książkę.	I will be reading the book when I've finished this job.	[ 20 941 59 302 146 137 141 ]
Kiedy grasz w tenisa?	When do you play tennis?	[ 155 382 3 458 ]
To mój własny rower.	This is my own bike.	[ 6 41 602 350 ]
Nie jesteś dziś sobą.	You aren't yourself today.	[ 5 49 69 878 ]
Dzisiaj czuję się lepiej.	I feel better today.	[ 76 366 2 557 ]
Dzisiaj czuję się lepiej.	I feel myself better today.	[ 76 366 2 557 ]
Każdy boi się robić coś nowego.	Everyone is afraid of doing new things.	[ 379 380 2 484 38 219 ]
Kiedy możesz się z nim spotkać?	When it is possible for you to meet him?	[ 155 104 2 8 194 1039 ]
Nie piję.	I don't drink.	[ 5 496 ]
Zgadzam się z nim.	I agree with him.	[ 798 2 8 194 ]
Może naprawdę nie ma własnego pokoju?	Maybe she really doesn't have a room of her own?	[ 53 83 5 12 1055 297 ]
Ten człowiek nie jest młody.	The man is not young.	[ 23 237 5 1 990 ]
On wrócił do domu.	He went back home.	[ 65 677 7 256 ]
Mam mało pieniędzy.	I have little money.	[ 43 263 448 ]
Wiesz to?	Do you know it?	[ 497 6 ]
Chcę iść na zakupy.	I want to go shopping.	[ 77 88 4 838 ]
Możesz rozwiązać ten problem?	Can you solve this problem?	[ 104 544 23 336 ]
Czy mógłbyś rozwiązać ten problem?	Could you solve the problem?	[ 67 289 544 23 336 ]
Umiem grać w tenisa.	I can play tennis.	[ 436 111 3 458 ]
Nie wiem, czy mam wystarczająco pieniędzy.	I don't know if I have enough money.	[ 5 154 67 43 795 448 ]
Chciałbym byś była blisko mnie.	I wish you were close to me.	[ 469 197 61 521 14 ]
Nie jestem starszy od niego.	I am not older than he is.	[ 5 30 1036 29 163 ]
Jestem ostatnio bardzo zajęty!	I'm very busy these days!	[ 30 551 15 416 ]
Nie znam angielskiego.	I don't know English.	[ 5 183 572 ]
Mogę pożyczyć pana słownik?	May I borrow your dictionary?	[ 24 192 271 527 ]
Ta torba jest moja.	That bag is mine.	[ 161 758 1 96 ]
On ma niewiele pieniędzy.	He has little money.	[ 65 12 492 448 ]
Nigdy czegoś takiego nie widziałem.	I've never seen anything like this.	[ 295 410 317 5 245 ]
Zacząłeś już czytać książkę?	Have you started reading the book yet?	[ 715 25 137 141 ]
Mamy jeszcze mnóstwo czasu.	We still have plenty of time.	[ 153 56 260 549 ]
Co chciałbyś zjeść?	What would you like to eat?	[ 22 432 311 ]
Jak to się stało?	How did it happen?	[ 20 6 2 992 ]
Jako że wstaję wcześnie to chcę tam spać.	Well, I get up early, so I want to sleep there.	[ 210 10 908 357 6 77 40 435 ]
Zrobiłeś to?	Did you make it?	[ 505 6 ]
Nie dotykaj moich rzeczy!	Don't touch my stuff!	[ 5 472 207 338 ]
Nie dotykaj moich rzeczy.	Don't touch my stuff.	[ 5 472 207 338 ]
O, proszę mi to pokazać!	Oh! Show it to me please.	[ 13 216 9 6 1034 ]
Moje szczęście zależy od ciebie.	My happiness depends on you.	[ 64 664 446 29 75 ]
Chcę spać.	I want to sleep.	[ 77 435 ]
Nie wiem czemu tu jestem.	I don't know why I'm here.	[ 5 154 1060 32 30 ]
On uczy angielskiego.	He teaches English.	[ 65 134 572 ]
Co oznacza to słowo?	What does this word mean?	[ 22 465 6 535 ]
Co oznacza to słowo?	What is the meaning of this word?	[ 22 465 6 535 ]
To twój główny problem.	That is your major problem.	[ 6 39 649 336 ]
Wydaje mi się, że Cię pamiętam.	I think I remember you.	[ 552 9 2 10 26 946 ]
Muszę napisać list.	I have to write a letter.	[ 162 420 191 ]
Kate mówi bardzo szybko po angielsku.	Kate speaks English very fast.	[ 643 73 15 101 16 701 ]
Nie pomogę ci tego zrobić.	I can't help you do that.	[ 5 1080 18 19 169 ]
Tutaj dokładnie?	Just right here?	[ 78 439 ]
Wczoraj, po prostu nie poszedłem do pracy.	Yesterday I simply did not go to work.	[ 60 16 370 5 1058 7 294 ]
Czy mówisz po angielsku?	Do you speak English?	[ 67 251 16 701 ]
Kto pracuje dziś wieczorem?	Who's working tonight?	[ 337 258 69 371 ]
Czy mówisz po angielsku?	Can't you speak English?	[ 67 251 16 701 ]
Czy mógłbym dostać twoje zdjęcie.	I would like your picture.	[ 67 193 243 91 700 ]
On jest dwa lata starszy od mnie.	He's two years older than me.	[ 65 1 109 558 1036 29 14 ]
Chciałbym mieć już to za sobą.	I wish this was all over.	[ 469 166 25 6 11 878 ]
Nie jestem z tego dumny.	I'm not proud of﻿ that.	[ 5 30 8 19 1234 ]
Nie jestem z tego dumny.	I am not proud of this.	[ 5 30 8 19 1234 ]
Nie mogę czekać aż do lata.	I can't wait till summer.	[ 5 24 691 272 7 558 ]
Ona wierzy w to co mówi.	She believes whatever he says.	[ 125 1329 3 6 22 73 ]
Wakacje? Co to jest?	Holidays? What are they?	[ 1010 22 6 1 ]
Wakacje? Co to jest?	Vacation? What's that?	[ 1010 22 6 1 ]
To jest moja córka.	This is my daughter.	[ 6 1 96 937 ]
On jest za młody, żeby mógł pić.	He's too young to drink.	[ 65 1 11 990 205 329 220 ]
Dam ci to.	I'll give you this.	[ 757 18 6 ]
Czy już nie czas na kolejne piwo?	Isn't it about time for another beer?	[ 67 25 5 248 4 852 622 ]
Bardzo bym chciał się z tobą zobaczyć.	I'm dying to see you.	[ 15 275 1215 2 8 127 182 ]
Dziecko już chodzi.	The baby is able to walk.	[ 293 25 464 ]
To trochę dalej.	It's a bit further way.	[ 6 72 704 ]
To zdjęcie mojego domu.	This is a photograph of my home.	[ 6 700 81 256 ]
Wyglądasz dobrze!	You're looking good!	[ 442 80 ]
Dobrze wyglądasz.	You look good.	[ 80 442 ]
Chcesz pieniędzy?	Do you want money?	[ 74 448 ]
Wiem, że lubisz kawę.	I know you like coffee.	[ 154 10 246 637 ]
Co tu się stało?	What happened in here?	[ 22 32 2 992 ]
Ona ma sto lat.	She is 100 years old.	[ 125 12 457 456 ]
Nie złość się.	Don't be angry.	[ 5 781 2 ]
Nie złość się.	Don't get angry.	[ 5 781 2 ]
Nie złość się!	Don't get upset!	[ 5 781 2 ]
On lubi wszystko, co jest słodkie.	He likes anything sweet.	[ 65 35 94 22 1 1360 ]
Jesteś pierwszy.	You're the first.	[ 49 477 ]
Gdzie serce tam i szczęście.	Where there is heart, there is luck.	[ 84 500 40 27 664 ]
Nie wiesz co się wczoraj stało?	Don't you know what happened yesterday?	[ 5 497 22 2 60 992 ]
Wiem dokładnie, czego potrzebujesz.	I know just what you need.	[ 154 439 198 262 ]
Nie może nas powstrzymać.	He can't stop us.	[ 5 53 86 910 ]
Będę grał w tenisa.	I am going to play tennis.	[ 146 449 3 458 ]
On nie nosi kapelusza	He is not wearing a hat.	[ 65 5 430 556 ]
Mój przyjaciel nie gra w tenisa.	My friend doesn't play tennis.	[ 41 929 5 148 3 458 ]
Widziałem go trzy lata temu.	I saw him three years ago.	[ 245 21 100 558 397 ]
Lubię cię jak syn.	I love you like a son.	[ 47 26 20 964 ]
Ona kocha kwiaty.	She loves flowers.	[ 125 200 468 ]
Te psy są duże.	These dogs are big.	[ 130 304 17 608 ]
Kiedy zaczyna się film?	When does the movie start?	[ 155 510 2 393 ]
Co mu się stało?	What happened to him?	[ 22 44 2 992 ]
Musisz codziennie uczyć się angielskiego.	You must study English every day.	[ 171 444 136 2 572 ]
Ona lubi biegać.	She likes to run.	[ 125 35 636 ]
Nie czytaj w tym pokoju.	Don't read in this room.	[ 5 977 3 46 297 ]
Czy pożyczysz mi swój rower?	Would you lend me your bicycle?	[ 67 844 9 58 350 ]
Tych nie dotykaj.	Don't touch these.	[ 321 5 472 ]
Już to kupiłem.	I already bought it.	[ 25 6 767 ]
Co Ken robi teraz?	What's Ken doing now?	[ 22 592 388 63 ]
Możesz tutaj studiować.	You can study here.	[ 104 78 617 ]
Teraz jest już za późno.	It's too late now.	[ 63 1 25 11 1232 ]
Ile twój dziadek ma lat?	How old is your grandfather?	[ 433 39 392 12 456 ]
To słownik.	It's a dictionary.	[ 6 527 ]
Jakie to jest długie?	How long is this?	[ 737 6 1 323 ]
Drzwi nie otwierają się.	The doors don't open.	[ 434 5 626 2 ]
Co Ken je?	What is Ken eating?	[ 22 592 187 ]
Ona nie mogła powiedzieć czegoś takiego.	She can't have said such a thing.	[ 125 5 455 291 410 317 ]
Jestem pewien, że on przyjdzie.	I'm sure he will come.	[ 30 870 10 65 361 ]
Nie wiem co chcesz, żebym powiedział.	I don't know what you want me to say.	[ 5 154 22 74 376 976 ]
Lubię angielski bardziej niż muzykę.	I like English better than music.	[ 47 418 213 66 597 ]
Nie mogę tam wejść.	I can't go in there.	[ 5 24 40 1005 ]
Chciałbym ją jeszcze raz zobaczyć.	I'd like to see her again.	[ 469 68 56 570 182 ]
Jest ode mnie młodszy o trzy lata.	He is younger than me by three years.	[ 1 292 14 907 13 100 558 ]
Mam stary rower.	I have an old bicycle.	[ 43 415 350 ]
Możesz spać?	Can you sleep?	[ 104 435 ]
Właśnie skończyłem śniadanie.	I have just finished breakfast.	[ 145 240 424 ]
Chcę czasu, nie pieniędzy.	I want time instead of money.	[ 77 549 5 448 ]
Cokolwiek mówisz, nie wierzę ci.	Whatever you may say, I don't believe you.	[ 751 251 5 324 18 ]
Mówi po angielsku lepiej niż ja.	He speaks English better than I do.	[ 73 16 701 557 66 206 ]
Nie mogłem się powstrzymać.	I couldn't resist.	[ 5 164 2 910 ]
Widzisz ten dom? To mój.	Do you see that house? It's mine.	[ 1179 23 103 6 41 ]
Proszę, powiedz mi.	Please, tell me.	[ 216 587 9 ]
Miał zły dzień.	He had a bad day.	[ 150 300 363 ]
Chcę usłyszeć więcej.	I want to hear more.	[ 77 623 113 ]
Wczoraj spotkałem go po raz pierwszy.	I met him yesterday for the first time.	[ 60 483 21 16 570 477 ]
Mógłbyś wysłać ten list do Japonii ?	Could you send this letter to Japan?	[ 289 447 23 191 7 942 ]
Idź za nim.	Follow him.	[ 611 11 194 ]
Wszystko dobre, co się dobrze kończy.	All's well that ends well.	[ 94 364 22 2 80 1070 ]
Twój mąż jest w domu?	Is your husband at home?	[ 39 1062 1 3 256 ]
Nie jadłem.	I haven't eaten.	[ 5 540 ]
Chłopiec nie jest wysoki.	The boy is not tall.	[ 646 5 1 438 ]
Jestem za piękna jak na ten świat.	I'm too beautiful for this world.	[ 30 11 1229 20 4 23 591 ]
Co chcesz, żebym teraz zrobił?	What is it that you want me to do now?	[ 22 74 376 63 831 ]
Nie potrzebuję pieniędzy.	I don't need money.	[ 5 368 448 ]
Mówi pani po angielsku?	Do you speak English?	[ 73 305 16 701 ]
Czy coś się stało?	Did something happen?	[ 67 38 2 992 ]
Czy coś się stało?	Has something happened?	[ 67 38 2 992 ]
Ona nienawidzi ryb, nigdy ich nie je.	She hates fish and never eats any.	[ 125 601 619 295 93 5 187 ]
Musiała tu zostać.	She has had to stay here.	[ 709 32 85 ]
Muszę odpowiedzieć na ten list.	I have to reply to this letter.	[ 162 997 4 23 191 ]
Nie wiem, kiedy wróci.	I don't know when he will come back.	[ 5 154 155 788 ]
Wszystko co dobre szybko się kończy.	All good things come to an end.	[ 94 22 364 101 2 1070 ]
Jestem od niego starszy o trzy lata.	I am older than he by three years.	[ 30 29 163 1036 13 100 558 ]
Nie musisz tego robić od razu.	You don't need to do that right away.	[ 5 171 19 484 29 947 ]
Jestem starszy niż twój brat.	I'm older than your brother.	[ 30 1036 66 39 209 ]
Lubię mieć poczucie, że wiem o czym mówię.	I like to think I know what I'm talking about.	[ 47 166 1419 10 154 13 152 247 ]
Mój kot biega po pokoju.	My cat is running around the room.	[ 41 574 454 16 297 ]
To jest nasze.	This is ours.	[ 6 1 823 ]
Czy jesteś jutro wolny?	Are you free tomorrow?	[ 67 49 106 885 ]
